,ZZEX_TREND_PERIOD1,ZZEX_TREND_PERIOD2,ZZEX_TREND_ENTITY,ZZEX_TREND_ID,ZZEX_TREND_RISK_ID,ZZEX_TREND_RISK_T_P1,ZZEX_TREND_RISK_T_P2,ZZEX_TREND_RISK_STATUS_P1,ZZEX_TREND_RISK_STATUS_P2,ZZEX_TREND_RISK_CHANGE_BY_P1,ZZEX_TREND_RISK_CHANGE_BY_P2,ZZEX_TREND_RISK_CHANGE_ON_P1,ZZEX_TREND_RISK_CHANGE_ON_P2,ZZEX_TREND_REP_CONTROL_ID_P1,ZZEX_TREND_REP_CONTROL_ID_P2,ZZEX_TREND_REFCRISK_P1,ZZEX_TREND_REFCRISK_P2,ZZEX_TREND_DISTRIB_METHOD_P1,ZZEX_TREND_DISTRIB_METHOD_P2,ZZEX_TREND_DISTRIB_T_METHOD_P1,ZZEX_TREND_DISTRIB_T_METHOD_P2,ZZEX_TREND_RISK_IS_LOCAL_P1,ZZEX_TREND_ORG_P1,ZZEX_TREND_ORG_P2,ZZEX_TREND_ORG_T_P1,ZZEX_TREND_ORG_T_P2,ZZEX_TREND_PARENT_OBJTYPE_P1,ZZEX_TREND_PARENT_OBJTYPE_P2,ZZEX_TREND_RISK_OWN_P1,ZZEX_TREND_RISK_OWN_P2,ZZEX_TREND_RISK_TYPE_P1,ZZEX_TREND_RISK_TYPE_P2,ZZEX_TREND_RISK_TYPE_T_P1,ZZEX_TREND_RISK_TYPE_T_P2,ZZEX_TREND_RISK_VALID_FROM_P1,ZZEX_TREND_RISK_VALID_FROM_P2,ZZEX_TREND_RISK_VALID_TO_P1,ZZEX_TREND_RISK_VALID_TO_P2,ZZEX_TREND_ANA_INH_IML_P1,ZZEX_TREND_ANA_INH_IML_P2,ZZEX_TREND_ANA_INH_IML_T_P1,ZZEX_TREND_ANA_INH_IML_T_P2,ZZEX_TREND_ANA_INH_IMS_P1,ZZEX_TREND_ANA_INH_IMS_P2,ZZEX_TREND_ANA_INH_PRB_P1,ZZEX_TREND_ANA_INH_PRB_P2,ZZEX_TREND_ANA_INH_PRL_P1,ZZEX_TREND_ANA_INH_PRL_P2,ZZEX_TREND_ANA_INH_PRL_T_P1,ZZEX_TREND_ANA_INH_PRL_T_P2,ZZEX_TREND_ANA_INH_PRS_P1,ZZEX_TREND_ANA_INH_PRS_P2,ZZEX_TREND_ANA_INH_RSL_P1,ZZEX_TREND_ANA_INH_RSL_P2,ZZEX_TREND_ANA_INH_RSL_T_P1,ZZEX_TREND_ANA_INH_RSL_T_P2,ZZEX_TREND_ANA_INH_RSS_P1,ZZEX_TREND_ANA_INH_RSS_P2,ZZEX_TREND_ANA_RSA_IML_P1,ZZEX_TREND_ANA_RSA_IML_P2,ZZEX_TREND_ANA_RSA_IML_T_P1,ZZEX_TREND_ANA_RSA_IML_T_P2,ZZEX_TREND_ANA_RSA_IMS_P1,ZZEX_TREND_ANA_RSA_IMS_P2,ZZEX_TREND_ANA_RSA_PRB_P1,ZZEX_TREND_ANA_RSA_PRB_P2,ZZEX_TREND_ANA_RSA_PRL_P1,ZZEX_TREND_ANA_RSA_PRL_P2,ZZEX_TREND_ANA_RSA_PRL_T_P1,ZZEX_TREND_ANA_RSA_PRL_T_P2,ZZEX_TREND_ANA_RSA_PRS_P1,ZZEX_TREND_ANA_RSA_PRS_P2,ZZEX_TREND_ANA_RSA_RSL_P1,ZZEX_TREND_ANA_RSA_RSL_P2,ZZEX_TREND_ANA_RSA_RSL_T_P1,ZZEX_TREND_ANA_RSA_RSL_T_P2,ZZEX_TREND_ANA_RSA_RSS_P1,ZZEX_TREND_ANA_RSA_RSS_P2,ZZEX_TREND_ANA_RSP_IML_P1,ZZEX_TREND_ANA_RSP_IML_P2,ZZEX_TREND_ANA_RSP_IML_T_P1,ZZEX_TREND_ANA_RSP_IML_T_P2,ZZEX_TREND_ANA_RSP_IMS_P1,ZZEX_TREND_ANA_RSP_IMS_P2,ZZEX_TREND_ANA_RSP_PRB_P1,ZZEX_TREND_ANA_RSP_PRB_P2,ZZEX_TREND_ANA_RSP_PRL_P1,ZZEX_TREND_ANA_RSP_PRL_P2,ZZEX_TREND_ANA_RSP_PRL_T_P1,ZZEX_TREND_ANA_RSP_PRL_T_P2,ZZEX_TREND_ANA_RSP_PRS_P1,ZZEX_TREND_ANA_RSP_PRS_P2,ZZEX_TREND_ANA_RSP_RSL_P1,ZZEX_TREND_ANA_RSP_RSL_P2,ZZEX_TREND_ANA_RSP_RSL_T_P1,ZZEX_TREND_ANA_RSP_RSL_T_P2,ZZEX_TREND_ANA_RSP_RSS_T_P1,ZZEX_TREND_ANA_RSP_RSS_T_P2,ZZEX_TREND_RISK_RISK_LEVEL_P1,ZZEX_TREND_RISK_RISK_LEVEL_P2,ZZEX_TREND_RISK_RISK_LEVEL_TP1,ZZEX_TREND_RISK_RISK_LEVEL_TP2,ODQ_CHANGEMODE,ODQ_ENTITYCNTR,LOAD_DATE
550,1/01/2021,1/07/2021,RS,,50008796,Onboarding delays,Onboarding delays,Active,Active,20099125,20099125,17/03/2020,17/03/2020,,,50000758,50000758,X,X,Copy,Copy,X,50008703,50008703,,,ORGUNIT,ORGUNIT,20036591,20036591,0BOWTIE,0BOWTIE,Operational,,13/03/2017,13/03/2017,31/12/9999,31/12/9999,4,4,Major,Major,68,68,70,70,70,70,Likely,Likely,0.7,0.7,VH,VH,Very High,Very High,47.6,47.6,3,3,Moderate,Moderate,50,50,32.5,32.5,32,32,Unlikely,Unlikely,0.325,0.325,M,M,Medium,Medium,16.25,16.25,3,3,Moderate,Moderate,45,45,10,10,10,10,Rare,,0.1,0.1,M,M,Medium,Medium,4.5,4.5,M,M,Medium,Medium,,0,59:03.4
551,1/01/2021,1/07/2021,RS,,50008806,Delay in interface between contractors,Delay in interface between contractors,Active,Active,20013183,20013183,7/06/2017,7/06/2017,,,50008805,50008805,X,X,Copy,Copy,X,50008680,50008680,,,ORGUNIT,ORGUNIT,8710679,8710679,0BOWTIE,0BOWTIE,Operational,,17/03/2017,17/03/2017,31/12/9999,31/12/9999,3,3,Moderate,Moderate,60,60,60,60,60,60,Possible,Possible,0.6,0.6,H,H,High,High,36,36,3,3,Moderate,Moderate,52.5,52.5,41,41,41,41,Possible,Possible,0.41,0.41,H,H,High,High,21.525,21.525,3,3,Moderate,Moderate,43,43,41,41,41,41,Possible,,0.41,0.41,H,H,High,High,17.63,17.63,H,H,High,High,,0,59:03.4
552,1/01/2021,1/07/2021,RS,,50008820,Unobtained surface rights,Unobtained surface rights,Active,Active,1402335,1402335,14/12/2017,14/12/2017,,,50004559,50004559,X,X,Copy,Copy,X,50008680,50008680,,,ORGUNIT,ORGUNIT,8710679,8710679,0BOWTIE,0BOWTIE,Operational,,23/03/2017,23/03/2017,31/12/9999,31/12/9999,3,3,Moderate,Moderate,60,60,45,45,45,45,Possible,Possible,0.45,0.45,H,H,High,High,27,27,3,3,Moderate,Moderate,60,60,21.75,21.75,21,21,Unlikely,Unlikely,0.2175,0.2175,M,M,Medium,Medium,13.05,13.05,3,3,Moderate,Moderate,60,60,4.25,4.25,4,4,Rare,,0.0425,0.0425,M,M,Medium,Medium,2.55,2.55,M,M,Medium,Medium,,0,59:03.4
553,1/01/2021,1/07/2021,RS,,50008821,Non-compliance to NWA (NGT),Non-compliance to NWA (NGT),Active,Active,20046082,20046082,2/08/2019,2/08/2019,,,50001966,50001966,X,X,Copy,Copy,X,50007513,50007513,,,ORGUNIT,ORGUNIT,8511863,8511863,0BOWTIE,0BOWTIE,Operational,,23/03/2017,23/03/2017,31/12/9999,31/12/9999,4,4,Major,Major,80,80,60,60,60,60,Possible,Possible,0.6,0.6,VH,VH,Very High,Very High,48,48,4,4,Major,Major,80,80,30.25,30.25,30,30,Unlikely,Unlikely,0.3025,0.3025,H,H,High,High,24.2,24.2,4,4,Major,Major,80,80,28,28,28,28,Unlikely,,0.28,0.28,H,H,High,High,22.4,22.4,H,H,High,High,,0,59:03.4
554,1/01/2021,1/07/2021,RS,,50008822,Unobtained NEMA authorisation_NGT road,Unobtained NEMA authorisation_NGT road,Active,Active,20046082,20046082,5/02/2021,5/02/2021,,,50001967,50001967,X,X,Copy,Copy,X,50007513,50007513,,,ORGUNIT,ORGUNIT,8511863,8511863,0BOWTIE,0BOWTIE,Operational,,23/03/2017,23/03/2017,31/12/9999,31/12/9999,4,4,Major,Major,80,80,67,67,67,67,Likely,Likely,0.67,0.67,VH,VH,Very High,Very High,53.6,53.6,4,4,Major,Major,80,80,38.75,38.75,38,38,Possible,Possible,0.3875,0.3875,VH,VH,Very High,Very High,31,31,4,4,Major,Major,80,80,37.25,37.25,37,37,Possible,,0.3725,0.3725,VH,VH,Very High,Very High,29.8,29.8,VH,VH,Very High,Very High,,0,59:03.4
555,1/01/2021,1/07/2021,RS,,50008830,Unsafe construction activities,Unsafe construction activities,Active,Active,20099125,20099125,5/02/2021,5/02/2021,,,50007528,50007528,X,X,Copy,Copy,X,50008703,50008703,,,ORGUNIT,ORGUNIT,20097784,20097784,0BOWTIE,0BOWTIE,Operational,,23/03/2017,23/03/2017,31/12/9999,31/12/9999,4,4,Major,Major,70,70,70,70,70,70,Likely,Likely,0.7,0.7,VH,VH,Very High,Very High,49,49,4,4,Major,Major,62.4,62.4,44,44,44,44,Possible,Possible,0.44,0.44,VH,VH,Very High,Very High,27.456,27.456,3,3,Moderate,Moderate,58,58,30,30,30,30,Unlikely,,0.3,0.3,M,M,Medium,Medium,17.4,17.4,VH,VH,Very High,Very High,,0,59:03.4
556,1/01/2021,1/07/2021,RS,,50008909,LOM Project Execution,LOM Project Execution,Active,Active,20046082,20046082,8/06/2021,8/06/2021,,,50000758,50000758,X,X,Copy,Copy,X,50001034,50001034,,,ORGUNIT,ORGUNIT,20043148,20043148,0BOWTIE,0BOWTIE,Operational,,29/03/2017,29/03/2017,31/12/9999,31/12/9999,5,5,Catastrophic,Catastrophic,95,95,91,91,91,91,Almost Certain,Almost Certain,0.91,0.91,VH,VH,Very High,Very High,86.45,86.45,5,5,Catastrophic,Catastrophic,95,95,78,78,78,78,Likely,Likely,0.78,0.78,VH,VH,Very High,Very High,74.1,74.1,5,5,Catastrophic,Catastrophic,95,95,37.5,37.5,37,37,Possible,,0.375,0.375,VH,VH,Very High,Very High,35.625,35.625,VH,VH,Very High,Very High,,0,59:03.4
557,1/01/2021,1/07/2021,RS,,50008924,Exchange rate volatility,Exchange rate volatility,Active,Active,20046082,20046082,9/06/2021,9/06/2021,,,50000821,50000821,X,X,Copy,Copy,X,50000698,50000698,,,ORGUNIT,ORGUNIT,3974696,3974696,0BOWTIE,0BOWTIE,Operational,,31/03/2017,31/03/2017,31/12/9999,31/12/9999,5,5,Catastrophic,Catastrophic,85,85,90,80,90,80,Almost Certain,Likely,0.9,0.8,VH,VH,Very High,Very High,76.5,68,5,5,Catastrophic,Catastrophic,85,85,85,75,85,75,Almost Certain,Likely,0.85,0.75,VH,VH,Very High,Very High,72.25,63.75,5,5,Catastrophic,Catastrophic,85,85,73,63,73,63,Likely,,0.73,0.63,VH,VH,Very High,Very High,62.05,53.55,VH,VH,Very High,Very High,,0,59:03.4
558,1/01/2021,1/07/2021,RS,,50008928,Labour unrest,Labour unrest,Active,Active,20046082,20046082,23/06/2021,23/06/2021,,,50000843,50000843,X,X,Copy,Copy,X,50008228,50008228,,,ORGUNIT,ORGUNIT,8508,8508,0BOWTIE,0BOWTIE,Operational,,4/04/2017,4/04/2017,31/12/9999,31/12/9999,4,4,Major,Major,70,70,85,85,85,85,Almost Certain,Almost Certain,0.85,0.85,VH,VH,Very High,Very High,59.5,59.5,4,4,Major,Major,67,67,63.75,63.75,63,63,Likely,Likely,0.6375,0.6375,VH,VH,Very High,Very High,42.7125,42.7125,4,4,Major,Major,67,67,63.75,63.75,63,63,Likely,,0.6375,0.6375,VH,VH,Very High,Very High,42.7125,42.7125,VH,VH,Very High,Very High,,0,59:03.4
559,1/01/2021,1/07/2021,RS,,50008931,Vehicle accidents (on public roads),Vehicle accidents (on public roads),Active,Active,20046082,20046082,7/02/2020,7/02/2020,,,50002016,50002016,X,X,Copy,Copy,X,50008228,50008228,,,ORGUNIT,ORGUNIT,J0246030,J0246030,0BOWTIE,0BOWTIE,Operational,,4/04/2017,4/04/2017,31/12/9999,31/12/9999,4,4,Major,Major,65,65,65,65,65,65,Likely,Likely,0.65,0.65,VH,VH,Very High,Very High,42.25,42.25,4,4,Major,Major,65,65,18.75,18.75,18,18,Unlikely,Unlikely,0.1875,0.1875,H,H,High,High,12.1875,12.1875,4,4,Major,Major,65,65,18.75,18.75,18,18,Unlikely,,0.1875,0.1875,H,H,High,High,12.1875,12.1875,H,H,High,High,,0,59:03.4
560,1/01/2021,1/07/2021,RS,,50008937,Insufficient budget allocation,Insufficient budget allocation,Active,Active,20073382,20073382,26/02/2018,26/02/2018,,,50003595,50003595,X,X,Copy,Copy,X,50008758,50008758,,,ORGUNIT,ORGUNIT,20073382,20073382,0BOWTIE,0BOWTIE,Operational,,5/04/2017,5/04/2017,31/12/9999,31/12/9999,4,4,Major,Major,80,80,60,60,60,60,Possible,Possible,0.6,0.6,VH,VH,Very High,Very High,48,48,4,4,Major,Major,80,80,60,60,60,60,Possible,Possible,0.6,0.6,VH,VH,Very High,Very High,48,48,4,4,Major,Major,80,80,42,42,42,42,Possible,,0.42,0.42,VH,VH,Very High,Very High,33.6,33.6,VH,VH,Very High,Very High,,0,59:03.4
561,1/01/2021,1/07/2021,RS,,50008940,Damaged clay liner - Mine 2 PCD,Damaged clay liner - Mine 2 PCD,Active,Active,20073382,20073382,19/02/2018,19/02/2018,,,50004594,50004594,X,X,Copy,Copy,X,50008758,50008758,,,ORGUNIT,ORGUNIT,20073382,20073382,0BOWTIE,0BOWTIE,Operational,,5/04/2017,5/04/2017,31/12/9999,31/12/9999,5,5,Catastrophic,Catastrophic,99,99,80,80,80,80,Likely,Likely,0.8,0.8,VH,VH,Very High,Very High,79.2,79.2,5,5,Catastrophic,Catastrophic,99,99,80,80,80,80,Likely,Likely,0.8,0.8,VH,VH,Very High,Very High,79.2,79.2,3,3,Moderate,Moderate,43,43,80,80,80,80,Likely,,0.8,0.8,H,H,High,High,34.4,34.4,VH,VH,Very High,Very High,,0,59:03.4
562,1/01/2021,1/07/2021,RS,,50008941,Structural integrity of the PCDs,Structural integrity of the PCDs,Active,Active,20073382,20073382,19/02/2018,19/02/2018,,,50000853,50000853,X,X,Copy,Copy,X,50008758,50008758,,,ORGUNIT,ORGUNIT,20073382,20073382,0BOWTIE,0BOWTIE,Operational,,5/04/2017,5/04/2017,31/12/9999,31/12/9999,4,4,Major,Major,80,80,80,80,80,80,Likely,Likely,0.8,0.8,VH,VH,Very High,Very High,64,64,4,4,Major,Major,80,80,80,80,80,80,Likely,Likely,0.8,0.8,VH,VH,Very High,Very High,64,64,2,2,Minor,Minor,24,24,80,80,80,80,Likely,,0.8,0.8,M,M,Medium,Medium,19.2,19.2,VH,VH,Very High,Very High,,0,59:03.4
563,1/01/2021,1/07/2021,RS,,50008942,No as-built drawings,No as-built drawings,Active,Active,20073382,20073382,19/02/2018,19/02/2018,,,50004699,50004699,X,X,Copy,Copy,X,50008758,50008758,,,ORGUNIT,ORGUNIT,20073382,20073382,0BOWTIE,0BOWTIE,Operational,,5/04/2017,5/04/2017,31/12/9999,31/12/9999,4,4,Major,Major,80,80,90,90,90,90,Almost Certain,Almost Certain,0.9,0.9,VH,VH,Very High,Very High,72,72,4,4,Major,Major,80,80,90,90,90,90,Almost Certain,Almost Certain,0.9,0.9,VH,VH,Very High,Very High,72,72,2,2,Minor,Minor,17,17,90,90,90,90,Almost Certain,,0.9,0.9,H,H,High,High,15.3,15.3,VH,VH,Very High,Very High,,0,59:03.4
564,1/01/2021,1/07/2021,RS,,50008943,Decommisioning of dams,Decommisioning of dams,Active,Active,20073382,20073382,19/02/2018,19/02/2018,,,0,0,,,None,None,X,50008758,50008758,,,ORGUNIT,ORGUNIT,20073382,20073382,0BOWTIE,0BOWTIE,Operational,,5/04/2017,5/04/2017,31/12/9999,31/12/9999,5,5,Catastrophic,Catastrophic,99,99,80,80,80,80,Likely,Likely,0.8,0.8,VH,VH,Very High,Very High,79.2,79.2,5,5,Catastrophic,Catastrophic,99,99,80,80,80,80,Likely,Likely,0.8,0.8,VH,VH,Very High,Very High,79.2,79.2,2,2,Minor,Minor,15,15,80,80,80,80,Likely,,0.8,0.8,M,M,Medium,Medium,12,12,VH,VH,Very High,Very High,,0,59:03.4
565,1/01/2021,1/07/2021,RS,,50008944,No formal procedures in place,No formal procedures in place,Active,Active,20073382,20073382,19/02/2018,19/02/2018,,,0,0,,,None,None,X,50008758,50008758,,,ORGUNIT,ORGUNIT,20061591,20061591,0BOWTIE,0BOWTIE,Operational,,5/04/2017,5/04/2017,31/12/9999,31/12/9999,5,5,Catastrophic,Catastrophic,90,90,70,70,70,70,Likely,Likely,0.7,0.7,VH,VH,Very High,Very High,63,63,5,5,Catastrophic,Catastrophic,90,90,70,70,70,70,Likely,Likely,0.7,0.7,VH,VH,Very High,Very High,63,63,2,2,Minor,Minor,18,18,70,70,70,70,Likely,,0.7,0.7,M,M,Medium,Medium,12.6,12.6,VH,VH,Very High,Very High,,0,59:03.4
566,1/01/2021,1/07/2021,RS,,50008949,Flooding,Flooding,Active,Active,20046082,20046082,23/06/2021,23/06/2021,,,50000810,50000810,X,X,Copy,Copy,X,50008228,50008228,,,ORGUNIT,ORGUNIT,454555,20005731,0BOWTIE,0BOWTIE,Operational,,7/04/2017,7/04/2017,31/12/9999,31/12/9999,4,5,Major,Catastrophic,80,90,90,88,90,88,Almost Certain,Almost Certain,0.9,0.88,VH,VH,Very High,Very High,72,79.2,4,5,Major,Catastrophic,71.5,81.5,56,54.6,56,54,Possible,Possible,0.56,0.546,VH,VH,Very High,Very High,40.04,44.499,4,5,Major,Catastrophic,71.5,81.5,56,51.5,56,51,Possible,,0.56,0.515,VH,VH,Very High,Very High,40.04,41.9725,VH,VH,Very High,Very High,,0,59:03.4
567,1/01/2021,1/07/2021,RS,,50008950,Fall of ground/Fall of roof,Fall of ground/Fall of roof,Active,Active,20046082,20046082,23/06/2021,23/06/2021,,,50002010,50002010,X,X,Copy,Copy,X,50008228,50008228,,,ORGUNIT,ORGUNIT,J0391798,J0391798,0BOWTIE,0BOWTIE,Operational,,7/04/2017,7/04/2017,31/12/9999,31/12/9999,5,5,Catastrophic,Catastrophic,95,95,95,95,95,95,Almost Certain,Almost Certain,0.95,0.95,VH,VH,Very High,Very High,90.25,90.25,5,5,Catastrophic,Catastrophic,95,95,51.55,59.45,51,59,Possible,Possible,0.5155,0.5945,VH,VH,Very High,Very High,48.9725,56.4775,5,5,Catastrophic,Catastrophic,95,95,47.15,55.85,47,55,Possible,,0.4715,0.5585,VH,VH,Very High,Very High,44.7925,53.0575,VH,VH,Very High,Very High,,0,59:03.4
568,1/01/2021,1/07/2021,RS,,50008951,High Methane release explosions,High Methane release explosions,Active,Active,20046082,20046082,23/06/2021,23/06/2021,,,50005719,50005719,X,X,Copy,Copy,X,50008228,50008228,,,ORGUNIT,ORGUNIT,J0294582,454555,0BOWTIE,0BOWTIE,Operational,,7/04/2017,7/04/2017,31/12/9999,31/12/9999,5,5,Catastrophic,Catastrophic,100,100,98,98,98,98,Almost Certain,Almost Certain,0.98,0.98,VH,VH,Very High,Very High,98,98,4,4,Major,Major,80,80,60,67.05,60,67,Possible,Likely,0.6,0.6705,VH,VH,Very High,Very High,48,53.64,4,4,Major,Major,80,80,46.2,56.05,46,56,Possible,,0.462,0.5605,VH,VH,Very High,Very High,36.96,44.84,VH,VH,Very High,Very High,,0,59:03.4
569,1/01/2021,1/07/2021,RS,,50008957,Commodity price volatility of coal,Commodity price volatility of coal,Active,Active,20046082,20046082,23/06/2021,23/06/2021,,,50000881,50000881,X,X,Copy,Copy,X,50008228,50008228,,,ORGUNIT,ORGUNIT,10378,J0276044,0BOWTIE,0BOWTIE,Operational,,7/04/2017,7/04/2017,31/12/9999,31/12/9999,5,5,Catastrophic,Catastrophic,85,85,95,80,95,80,Almost Certain,Likely,0.95,0.8,VH,VH,Very High,Very High,80.75,68,5,5,Catastrophic,Catastrophic,85,85,90.05,75.05,90,75,Almost Certain,Likely,0.9005,0.7505,VH,VH,Very High,Very High,76.5425,63.7925,5,5,Catastrophic,Catastrophic,85,85,68.65,53.65,68,53,Possible,,0.6865,0.5365,VH,VH,Very High,Very High,58.3525,45.6025,VH,VH,Very High,Very High,,0,59:03.4
570,1/01/2021,1/07/2021,RS,,50008958,DCM West Safety Challenges,DCM West Safety Challenges,Active,Active,20046082,20046082,7/05/2021,7/05/2021,,,50001965,50001965,X,X,Copy,Copy,X,50008228,50008228,,,ORGUNIT,ORGUNIT,J0370354,20102467,0BOWTIE,0BOWTIE,Operational,,7/04/2017,7/04/2017,31/12/9999,31/12/9999,4,4,Major,Major,80,80,70,70,70,70,Likely,Likely,0.7,0.7,VH,VH,Very High,Very High,56,56,4,4,Major,Major,80,80,27.25,27.25,27,27,Unlikely,Unlikely,0.2725,0.2725,H,H,High,High,21.8,21.8,4,4,Major,Major,80,80,23.25,23.25,23,23,Unlikely,,0.2325,0.2325,H,H,High,High,18.6,18.6,H,H,High,High,,0,59:03.4
571,1/01/2021,1/07/2021,RS,,50008959,Insuf. contractor management (projects),Insuf. contractor management (projects),Active,Active,20046082,20046082,1/02/2021,1/02/2021,,,50000837,50000837,X,X,Copy,Copy,X,50008228,50008228,,,ORGUNIT,ORGUNIT,J0411280,20107128,0BOWTIE,0BOWTIE,Operational,,7/04/2017,7/04/2017,31/12/9999,31/12/9999,3,3,Moderate,Moderate,60,60,50,50,50,50,Possible,Possible,0.5,0.5,H,H,High,High,30,30,3,3,Moderate,Moderate,60,60,25.25,25.25,25,25,Unlikely,Unlikely,0.2525,0.2525,M,M,Medium,Medium,15.15,15.15,3,3,Moderate,Moderate,60,60,11.75,11.75,11,11,Unlikely,,0.1175,0.1175,M,M,Medium,Medium,7.05,7.05,M,M,Medium,Medium,,0,59:03.4
572,1/01/2021,1/07/2021,RS,,50008962,Actual yields not achieved,Actual yields not achieved,Active,Active,20046082,20046082,20/08/2020,20/08/2020,,,50008961,50008961,X,X,Copy,Copy,X,50008228,50008228,,,ORGUNIT,ORGUNIT,J0391798,J0391798,0BOWTIE,0BOWTIE,Operational,,7/04/2017,7/04/2017,31/12/9999,31/12/9999,4,4,Major,Major,80,80,75,75,75,75,Likely,Likely,0.75,0.75,VH,VH,Very High,Very High,60,60,4,4,Major,Major,80,80,39.65,39.65,39,39,Possible,Possible,0.3965,0.3965,VH,VH,Very High,Very High,31.72,31.72,4,4,Major,Major,80,80,38.45,38.45,38,38,Possible,,0.3845,0.3845,VH,VH,Very High,Very High,30.76,30.76,VH,VH,Very High,Very High,,0,59:03.4
573,1/01/2021,1/07/2021,RS,,50008983,Statutory Requirements (SHEC),Statutory Requirements (SHEC),Active,Active,20012011,20012011,27/01/2021,27/01/2021,,,0,0,,,None,None,X,50007888,50007888,,,ORGUNIT,ORGUNIT,6175023,20118383,0BOWTIE,0BOWTIE,Operational,,11/04/2017,11/04/2017,31/12/9999,31/12/9999,4,4,Major,Major,75,75,80,80,80,80,Likely,Likely,0.8,0.8,VH,VH,Very High,Very High,60,60,4,4,Major,Major,69.3,69.3,64.05,64.05,64,64,Likely,Likely,0.6405,0.6405,VH,VH,Very High,Very High,44.38665,44.38665,4,4,Major,Major,66,66,59.15,59.15,59,59,Possible,,0.5915,0.5915,VH,VH,Very High,Very High,39.039,39.039,VH,VH,Very High,Very High,,0,59:03.4
574,1/01/2021,1/07/2021,RS,,50008989,Communication system on the Mine,Communication system on the Mine,Active,Active,20012011,20012011,27/08/2020,27/08/2020,,,0,0,,,None,None,X,50007887,50007887,,,ORGUNIT,ORGUNIT,1915097,1915097,0BOWTIE,0BOWTIE,Operational,,11/04/2017,11/04/2017,31/12/9999,31/12/9999,4,4,Major,Major,80,80,40,40,40,40,Possible,Possible,0.4,0.4,VH,VH,Very High,Very High,32,32,4,4,Major,Major,66.35,66.35,15.25,15.25,15,15,Unlikely,Unlikely,0.1525,0.1525,H,H,High,High,10.11838,10.11838,4,4,Major,Major,62.8,62.8,11,11,11,11,Unlikely,,0.11,0.11,H,H,High,High,6.908,6.908,H,H,High,High,,0,59:03.4
575,1/01/2021,1/07/2021,RS,,50008990,Insufficient Diesel storage capacity,Insufficient Diesel storage capacity,Active,Active,20012011,20012011,1/02/2021,1/02/2021,,,0,0,,,None,None,X,50007887,50007887,,,ORGUNIT,ORGUNIT,1915097,1915097,0BOWTIE,0BOWTIE,Operational,,11/04/2017,11/04/2017,31/12/9999,31/12/9999,3,3,Moderate,Moderate,60,60,60,65,60,65,Possible,Likely,0.6,0.65,H,H,High,High,36,39,3,3,Moderate,Moderate,60,60,56.25,61.25,56,61,Possible,Likely,0.5625,0.6125,H,H,High,High,33.75,36.75,3,3,Moderate,Moderate,41,41,46.75,51.75,46,51,Possible,,0.4675,0.5175,H,H,High,High,19.1675,21.2175,H,H,High,High,,0,59:03.4
576,1/01/2021,1/07/2021,RS,,50008991,Concurrent Rehab & ICC,Concurrent Rehab & ICC,Active,Active,20012011,20012011,26/08/2020,26/08/2020,,,0,0,,,None,None,X,50007887,50007887,,,ORGUNIT,ORGUNIT,1915097,1915097,0BOWTIE,0BOWTIE,Operational,,11/04/2017,11/04/2017,31/12/9999,31/12/9999,4,4,Major,Major,65,65,60,60,60,60,Possible,Possible,0.6,0.6,VH,VH,Very High,Very High,39,39,3,3,Moderate,Moderate,53.1,53.1,38.5,38.5,38,38,Possible,Possible,0.385,0.385,H,H,High,High,20.4435,20.4435,3,3,Moderate,Moderate,48.2,48.2,20,20,20,20,Unlikely,,0.2,0.2,M,M,Medium,Medium,9.64,9.64,H,H,High,High,,0,59:03.4
577,1/01/2021,1/07/2021,RS,,50008995,Stacker reliability and availability,Stacker reliability and availability,Active,Active,20012011,20012011,24/05/2021,24/05/2021,,,0,0,,,None,None,X,50007890,50007890,,,ORGUNIT,ORGUNIT,20115702,20115702,0BOWTIE,0BOWTIE,Operational,,11/04/2017,11/04/2017,31/12/9999,31/12/9999,4,4,Major,Major,65,65,50,45,50,45,Possible,Possible,0.5,0.45,VH,VH,Very High,Very High,32.5,29.25,3,3,Moderate,Moderate,47.25,47.25,34.05,29.05,34,29,Unlikely,Unlikely,0.3405,0.2905,M,M,Medium,Medium,16.08863,13.72613,3,3,Moderate,Moderate,42.75,42.75,31.75,26.75,31,26,Unlikely,,0.3175,0.2675,M,M,Medium,Medium,13.57313,11.43563,M,M,Medium,Medium,,0,59:03.4
578,1/01/2021,1/07/2021,RS,,50009017,Difficulty resolving technical/construct,Difficulty resolving technical/construct,Active,Active,20101177,20101177,30/01/2020,30/01/2020,,,50000758,50000758,X,X,Copy,Copy,X,50009018,50009018,,,ORGUNIT,ORGUNIT,20107446,20107446,0BOWTIE,0BOWTIE,Operational,,1/05/2017,1/05/2017,31/12/9999,31/12/9999,3,3,Moderate,Moderate,60,60,80,80,80,80,Likely,Likely,0.8,0.8,H,H,High,High,48,48,3,3,Moderate,Moderate,60,60,62.5,62.5,62,62,Likely,Likely,0.625,0.625,H,H,High,High,37.5,37.5,3,3,Moderate,Moderate,60,60,59.5,59.5,59,59,Possible,,0.595,0.595,H,H,High,High,35.7,35.7,H,H,High,High,,0,59:03.4
